Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
5;NOT USED;166.54;67108864;0.70;0.75;0.89;TRUE;0.14;0.13;0.13;163.86;90.81;105.43;163.99;90.95;105.57;0.53;0.34;0.40;2.05;1.57;1.78;3302
5;NOT USED;166.54;67108864;0.70;0.75;0.89;TRUE;0.14;0.13;0.13;163.86;90.81;105.43;163.99;90.95;105.57;0.53;0.34;0.40;2.05;1.57;1.78;3302
5;NOT USED;331.60;134217728;0.70;0.73;0.78;TRUE;0.15;0.13;0.14;327.55;181.48;210.70;327.70;181.62;210.84;0.54;0.33;0.40;2.21;1.57;1.82;3302
5;USED;329.99;134217728;0.77;0.86;1.15;TRUE;138.25;0.10;27.74;327.69;41.67;155.56;327.82;136.25;183.30;5.59;3.00;3.88;2.64;1.77;2.19;3302
5;NOT USED;330.08;134217728;0.72;0.77;0.82;TRUE;0.12;0.11;0.12;327.54;181.47;210.72;327.66;181.58;210.84;5.33;3.05;3.96;2.38;1.88;2.05;3302
5;NOT USED;330.43;134217728;0.74;0.78;0.82;TRUE;0.15;0.12;0.13;327.59;181.50;210.74;327.73;181.64;210.88;4.87;1.82;3.13;2.21;1.88;2.08;3302
5;NOT USED;330.40;134217728;0.76;0.78;0.82;TRUE;0.11;0.11;0.11;327.66;181.48;210.75;327.77;181.59;210.87;6.04;2.10;3.60;2.21;1.57;1.95;3302
5;NOT USED;330.37;134217728;0.74;0.78;0.81;TRUE;0.13;0.11;0.12;327.59;181.50;210.74;327.71;181.63;210.86;3.64;2.51;3.11;2.38;1.57;2.02;3302
5;USED;329.90;134217728;0.74;0.88;1.25;TRUE;140.14;0.11;28.12;327.60;41.71;155.56;327.74;136.26;183.69;5.65;1.35;3.95;2.64;1.77;2.16;3302
5;USED;330.18;134217728;0.77;0.88;1.19;TRUE;140.29;0.11;28.15;327.68;41.69;155.58;327.81;136.26;183.74;9.01;2.51;5.78;2.52;1.57;2.13;3302
5;USED;330.38;134217728;0.72;0.83;1.00;TRUE;139.89;0.13;28.09;327.55;41.61;155.53;327.69;136.27;183.62;0.54;0.28;0.35;2.39;1.57;2.03;3302
5;NOT USED;331.60;134217728;0.70;0.73;0.78;TRUE;0.15;0.13;0.14;327.55;181.48;210.70;327.70;181.62;210.84;0.54;0.33;0.40;2.21;1.57;1.82;3302
10;USED;16.75;2239815;1.36;5.55;12.26;TRUE;6.26;0.11;3.16;6.96;1.47;3.24;13.17;3.37;6.41;5.84;1.51;2.84;2.65;0.94;1.89;2606
10;NOT USED;11.56;2239815;0.70;1.53;3.05;TRUE;0.16;0.12;0.14;7.01;6.31;6.40;7.15;6.44;6.54;0.64;0.41;0.56;1.90;1.55;1.68;2606
10;USED;17.28;2239815;1.39;5.37;10.35;TRUE;9.22;0.12;3.48;6.97;1.46;3.24;13.17;3.39;6.72;0.97;0.28;0.43;2.65;0.94;1.83;2606
10;NOT USED;11.56;2239815;0.70;1.53;3.05;TRUE;0.16;0.12;0.14;7.01;6.31;6.40;7.15;6.44;6.54;0.64;0.41;0.56;1.90;1.55;1.68;2606
10;NOT USED;11.59;2239815;1.69;2.05;2.84;TRUE;3.23;0.11;0.43;7.01;6.29;6.38;9.60;6.40;6.81;4.83;1.78;3.54;2.25;1.55;1.89;2606
10;USED;28.15;4293938;1.12;2.96;5.35;TRUE;12.27;0.11;4.99;13.32;2.70;6.10;25.60;6.26;11.09;6.60;1.11;3.75;2.65;1.10;1.86;2606
10;NOT USED;17.65;4293938;0.70;1.14;1.89;TRUE;0.16;0.13;0.14;13.36;12.03;12.18;13.50;12.16;12.32;0.64;0.49;0.57;1.90;1.55;1.68;2606
10;USED;27.40;4293938;1.01;3.17;5.85;TRUE;12.32;0.13;5.00;13.31;2.74;6.10;22.56;6.28;11.11;0.94;0.30;0.43;2.65;0.94;1.79;2606
10;NOT USED;17.65;4293938;0.70;1.14;1.89;TRUE;0.16;0.13;0.14;13.36;12.03;12.18;13.50;12.16;12.32;0.64;0.49;0.57;1.90;1.55;1.68;2606
10;NOT USED;16.72;4293938;1.22;1.41;1.76;TRUE;0.14;0.11;0.12;13.34;12.01;12.16;13.47;12.12;12.29;4.78;0.90;3.18;2.25;1.90;1.96;2606
10;USED;46.67;8869498;0.85;1.80;2.96;TRUE;18.37;0.11;8.05;27.46;5.51;12.48;42.80;12.69;20.54;8.84;1.37;4.21;2.65;1.00;1.93;2606
10;USED;50.01;8869498;0.85;1.89;3.76;TRUE;18.36;0.12;8.35;27.45;5.51;12.49;45.82;12.71;20.84;0.98;0.29;0.44;2.65;0.94;1.81;2606
10;NOT USED;31.29;8869498;0.70;0.92;1.30;TRUE;0.17;0.13;0.14;27.50;24.76;25.05;27.64;24.90;25.20;0.64;0.42;0.57;1.90;1.55;1.68;2606
10;NOT USED;31.29;8869498;0.70;0.92;1.30;TRUE;0.17;0.13;0.14;27.50;24.76;25.05;27.64;24.90;25.20;0.64;0.42;0.57;1.90;1.55;1.68;2606
10;NOT USED;31.10;8869498;0.95;1.04;1.21;TRUE;0.15;0.12;0.13;27.48;24.75;25.04;27.61;24.87;25.17;5.67;1.25;3.44;2.59;1.55;1.92;2606
10;USED;79.39;15890720;0.78;1.38;2.33;TRUE;27.53;0.11;12.63;49.16;9.85;22.29;76.69;22.55;34.92;4.72;0.97;2.52;2.65;0.94;1.91;2606
10;USED;79.70;15890720;0.78;1.36;2.06;TRUE;27.72;0.13;12.92;49.16;9.85;22.29;76.65;22.58;35.21;0.95;0.29;0.43;2.65;0.94;1.79;2606
10;NOT USED;52.47;15890720;0.84;0.90;0.99;TRUE;0.15;0.11;0.13;49.19;44.28;44.79;49.32;44.40;44.93;6.08;1.75;3.43;2.25;1.55;1.85;2606
10;NOT USED;53.77;15890720;0.70;0.83;1.03;TRUE;0.16;0.13;0.14;49.21;44.30;44.81;49.36;44.44;44.95;0.64;0.42;0.56;1.90;1.55;1.68;2606
10;NOT USED;53.77;15890720;0.70;0.83;1.03;TRUE;0.16;0.13;0.14;49.21;44.30;44.81;49.36;44.44;44.95;0.64;0.42;0.56;1.90;1.55;1.68;2606
10;USED;151.76;32095088;0.77;1.24;3.29;TRUE;49.32;0.11;24.56;99.29;19.82;44.95;148.21;45.35;69.52;4.92;1.60;2.99;2.65;1.13;2.00;2606
10;NOT USED;104.13;32095088;0.70;0.77;0.88;TRUE;0.16;0.13;0.14;99.33;89.39;90.41;99.47;89.52;90.55;0.64;0.42;0.57;1.90;1.55;1.68;2606
10;NOT USED;103.26;32095088;0.76;0.79;0.84;TRUE;0.17;0.11;0.13;99.28;89.38;90.38;99.40;89.49;90.52;5.76;1.47;2.91;2.25;1.55;1.82;2606
10;USED;151.20;32095088;0.74;1.02;1.30;TRUE;49.18;0.12;24.49;99.26;19.76;44.91;148.04;45.35;69.41;0.96;0.30;0.43;2.65;0.94;1.79;2606
10;NOT USED;104.13;32095088;0.70;0.77;0.88;TRUE;0.16;0.13;0.14;99.33;89.39;90.41;99.47;89.52;90.55;0.64;0.42;0.57;1.90;1.55;1.68;2606
10;USED;307.49;67108864;0.75;0.87;1.09;TRUE;98.43;0.12;48.97;207.56;41.25;93.79;305.25;94.55;142.76;5.52;1.54;3.20;2.65;1.13;1.98;2606
10;USED;308.15;67108864;0.72;0.86;1.10;TRUE;98.22;0.13;48.86;207.51;41.19;93.77;304.96;94.56;142.64;0.94;0.31;0.44;2.48;0.94;1.71;2606
10;NOT USED;211.33;67108864;0.70;0.74;0.79;TRUE;0.16;0.13;0.14;207.57;186.82;188.93;207.71;186.96;189.07;0.64;0.41;0.56;1.90;1.55;1.68;2606
10;NOT USED;211.31;67108864;0.73;0.74;0.76;TRUE;0.14;0.11;0.12;207.52;186.80;188.90;207.65;186.92;189.03;5.31;1.45;3.06;2.25;1.55;1.92;2606
10;NOT USED;211.33;67108864;0.70;0.74;0.79;TRUE;0.16;0.13;0.14;207.57;186.82;188.93;207.71;186.96;189.07;0.64;0.41;0.56;1.90;1.55;1.68;2606
10;NOT USED;418.96;134217728;0.70;0.72;0.78;TRUE;0.16;0.13;0.14;415.00;373.57;377.73;415.14;373.70;377.87;0.64;0.42;0.56;1.90;1.55;1.68;2606
